Currency,Round to nearest,Rates,Charm
TZS,1000,2403.1818,0.00,,,"(602, 'TZS', 0, 1000, 0, 0, 0, 0, 22),"
MNT,1000,2790.4739,0.00,,,"(602, 'MNT', 0, 1000, 0, 0, 0, 0, 22),"
COP,1000,3529.6080,0.00,,,"(602, 'COP', 0, 1000, 0, 0, 0, 0, 22),"
UGX,1000,3858.9933,0.00,,,"(602, 'UGX', 0, 1000, 0, 0, 0, 0, 22),"
KHR,1000,4268.9871,0.00,,,"(602, 'KHR', 0, 1000, 0, 0, 0, 0, 22),"
PYG,1000,6436.0977,0.00,,,"(602, 'PYG', 0, 1000, 0, 0, 0, 0, 22),"
LAK,1000,9122.6118,0.00,,,"(602, 'LAK', 0, 1000, 0, 0, 0, 0, 22),"
GNF,1000,9601.5615,0.00,,,"(602, 'GNF', 0, 1000, 0, 0, 0, 0, 22),"
SLL,1000,9723.1500,0.00,,,"(602, 'SLL', 0, 1000, 0, 0, 0, 0, 22),"
UZS,1000,9845.8891,0.00,,,"(602, 'UZS', 0, 1000, 0, 0, 0, 0, 22),"
IDR,1000,14884.6267,0.00,,,"(602, 'IDR', 0, 1000, 0, 0, 0, 0, 22),"
STD,1000,22541.8060,0.00,,,"(602, 'STD', 0, 1000, 0, 0, 0, 0, 22),"
VND,1000,24260.8275,0.00,*,,"(602, 'VND', 0, 1000, 0, 0, 0, 0, 22);"
